"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Jesse James",2500,"Den@Pit 04:25PM ET",4.060,"Pit"
"TE","Derek Carrier",2500,"Buf@Was 01:00PM ET",3.092,"Was"
"TE","Brian Leonhardt",2500,"Cin@SF 04:25PM ET",1.400,"SF"
"TE","E.J. Bibbs",2500,"Cle@Sea 04:05PM ET",0.425,"Cle"
"TE","Khari Lee",2500,"Chi@Min 01:00PM ET",0.131,"Chi"
"DST","Bears ",2400,"Chi@Min 01:00PM ET",5.462,"Chi"
"DST","Browns ",2400,"Cle@Sea 04:05PM ET",5.846,"Cle"
"DST","Jaguars ",2400,"Atl@Jax 01:00PM ET",7.154,"Jax"
"DST","Redskins ",2300,"Buf@Was 01:00PM ET",7.538,"Was"
"DST","Giants ",2200,"Car@NYG 01:00PM ET",8.538,"NYG"
"DST","Eagles ",2200,"Ari@Phi 08:30PM ET",9.308,"Phi"
"DST","Chargers ",2200,"Mia@SD 04:25PM ET",4.615,"SD"
"DST","49ers ",2100,"Cin@SF 04:25PM ET",4.769,"SF"
"DST","Titans ",2000,"Ten@NE 01:00PM ET",6.154,"Ten"
"DST","Colts ",2000,"Hou@Ind 01:00PM ET",6.692,"Ind"
"DST","Raiders ",2000,"GB@Oak 04:05PM ET",6.615,"Oak"
"DST","Ravens ",2000,"KC@Bal 01:00PM ET",6.692,"Bal"
